IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.142.191,8880,443,FALSE,SIN,Europe,Frankfurt,195,11.6
47.76.94.15,2087,2082,TRUE,HKG,Asia Pacific,Tokyo,73,11.59
58.153.173.79,8880,8880,FALSE,HKG,Asia Pacific,Tokyo,69,11.59
47.238.40.58,2087,2052,TRUE,HKG,Asia Pacific,Tokyo,86,11.58
8.218.22.210,2086,80,FALSE,HKG,Asia Pacific,Tokyo,71,11.58
47.238.40.58,2083,8080,TRUE,HKG,Asia Pacific,Tokyo,74,11.57
8.218.22.210,8080,2087,FALSE,HKG,Asia Pacific,Tokyo,86,11.57
8.218.22.210,8880,8080,FALSE,HKG,Asia Pacific,Tokyo,84,11.57
202.81.231.150,80,2095,FALSE,HKG,Asia Pacific,Tokyo,84,11.56
154.12.59.101,443,2083,TRUE,LAX,Asia Pacific,Tokyo,92,11.56
23.225.116.68,45853,2095,TRUE,LAX,Asia Pacific,Tokyo,74,11.56
154.40.35.27,50007,8443,TRUE,LAX,Asia Pacific,Tokyo,90,11.54
23.224.33.154,20908,2086,TRUE,LAX,Asia Pacific,Tokyo,80,11.54
185.238.250.168,31445,2052,TRUE,LAX,Asia Pacific,Tokyo,77,11.54
37.123.197.170,30803,2095,TRUE,NRT,Asia Pacific,Tokyo,78,11.53
132.145.95.117,2052,2053,TRUE,NRT,Asia Pacific,Tokyo,157,11.53
103.20.199.88,30002,2087,FALSE,NRT,Asia Pacific,Tokyo,91,11.53
131.186.27.181,2096,2082,TRUE,NRT,Asia Pacific,Tokyo,76,11.53
8.219.153.237,80,2096,FALSE,NRT,Asia Pacific,Tokyo,101,11.53
8.219.66.156,2052,2095,FALSE,NRT,Asia Pacific,Tokyo,88,11.53
47.236.125.62,2083,2095,TRUE,NRT,Asia Pacific,Tokyo,92,11.52
8.219.210.57,8443,2087,TRUE,SIN,Asia Pacific,Tokyo,94,11.5
47.237.84.173,80,2052,FALSE,SIN,Asia Pacific,Tokyo,77,11.5
47.236.158.158,2083,443,TRUE,SIN,Europe,Frankfurt,174,11.49
47.236.118.216,2095,80,FALSE,SIN,Asia Pacific,Tokyo,80,11.49
47.236.168.17,2052,2087,FALSE,SIN,Asia Pacific,Tokyo,97,11.48
47.236.75.113,8880,80,FALSE,SIN,Asia Pacific,Tokyo,73,11.48
47.237.83.20,2087,8443,TRUE,SIN,Asia Pacific,Tokyo,125,11.48
8.219.142.191,2053,2096,TRUE,SIN,Asia Pacific,Tokyo,79,11.47
103.167.151.182,443,8880,TRUE,SIN,Asia Pacific,Tokyo,86,11.47
47.236.17.193,2095,2095,FALSE,SIN,Asia Pacific,Tokyo,79,11.47
138.3.216.67,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,91,1.47
158.101.69.12,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,77,1.47
132.145.112.168,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,71,1.47
132.145.121.123,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,74,1.47
152.70.106.195,80,80,FALSE,NRT,Asia Pacific,Tokyo,72,1.47
131.186.37.191,80,80,FALSE,NRT,Asia Pacific,Tokyo,71,1.47
151.145.68.104,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,86,1.47
141.147.185.149,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,96,1.47
